"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Storey et al. 2003) < 0.5)"
Nkx2-3	30	37	-0.302562770020431	-0.30359554893498	-0.858889644351662	0.390401403259746	0.682553175097905	0.486608010219471	TRUE
Hist1h2ac	9	13	-0.53051471669878	-0.531547495613329	-0.856839068956628	0.391533830589301	0.683546371658629	0.487217248400009	TRUE
Lca5l	9	13	-0.53051471669878	-0.531547495613329	-0.856839068956628	0.391533830589301	0.683546371658629	0.487217248400009	TRUE
D630003M21Rik	9	13	-0.53051471669878	-0.531547495613329	-0.856839068956628	0.391533830589301	0.683546371658629	0.487217248400009	TRUE
Gm12522	9	13	-0.53051471669878	-0.531547495613329	-0.856839068956628	0.391533830589301	0.683546371658629	0.487217248400009	TRUE
Zfp3	13	9	0.53051471669878	0.529481937784231	0.853509449944657	0.393376849432545	0.685432341224157	0.488538408345167	TRUE
Hsd17b1	13	9	0.53051471669878	0.529481937784231	0.853509449944657	0.393376849432545	0.685432341224157	0.488538408345167	TRUE
Sugct	13	9	0.53051471669878	0.529481937784231	0.853509449944657	0.393376849432545	0.685432341224157	0.488538408345167	TRUE
Entpd2	13	9	0.53051471669878	0.529481937784231	0.853509449944657	0.393376849432545	0.685432341224157	0.488538408345167	TRUE
Folr2	13	9	0.53051471669878	0.529481937784231	0.853509449944657	0.393376849432545	0.685432341224157	0.488538408345167	TRUE
Gsto2	37	30	0.302562770020431	0.301529991105883	0.853046059900425	0.39363376212497	0.685451265488024	0.488674126164167	TRUE
Gm20594	15	20	-0.415037499278844	-0.416070278193393	-0.848707170018945	0.396044255512396	0.688357928005012	0.490618098912277	TRUE
Gm10548	28	22	0.347923303420306	0.346890524505758	0.847029716280387	0.396978558194782	0.688950203973975	0.491157035990844	TRUE
Cideb	20	15	0.415037499278844	0.414004720364295	0.844493810325829	0.398393520714147	0.690502501092186	0.492244643775727	TRUE
Ablim3	20	15	0.415037499278844	0.414004720364295	0.844493810325829	0.398393520714147	0.690502501092186	0.492244643775727	TRUE
Prg4	5	8	-0.678071905112638	-0.679104684027187	-0.837071088755207	0.402552610251947	0.693525702931276	0.494124998816403	TRUE
Pnldc1	5	8	-0.678071905112638	-0.679104684027187	-0.837071088755207	0.402552610251947	0.693525702931276	0.494124998816403	TRUE
Cd59a	5	8	-0.678071905112638	-0.679104684027187	-0.837071088755207	0.402552610251947	0.693525702931276	0.494124998816403	TRUE
Gm14124	5	8	-0.678071905112638	-0.679104684027187	-0.837071088755207	0.402552610251947	0.693525702931276	0.494124998816403	TRUE
Mroh8	5	8	-0.678071905112638	-0.679104684027187	-0.837071088755207	0.402552610251947	0.693525702931276	0.494124998816403	TRUE
Ube2u	5	8	-0.678071905112638	-0.679104684027187	-0.837071088755207	0.402552610251947	0.693525702931276	0.494124998816403	TRUE
Gm13238	5	8	-0.678071905112638	-0.679104684027187	-0.837071088755207	0.402552610251947	0.693525702931276	0.494124998816403	TRUE
Msi1	5	8	-0.678071905112638	-0.679104684027187	-0.837071088755207	0.402552610251947	0.693525702931276	0.494124998816403	TRUE
Tuba8	5	8	-0.678071905112638	-0.679104684027187	-0.837071088755207	0.402552610251947	0.693525702931276	0.494124998816403	TRUE
Syt5	5	8	-0.678071905112638	-0.679104684027187	-0.837071088755207	0.402552610251947	0.693525702931276	0.494124998816403	TRUE
9330175E14Rik	5	8	-0.678071905112638	-0.679104684027187	-0.837071088755207	0.402552610251947	0.693525702931276	0.494124998816403	TRUE
Matn3	23	29	-0.334419039070559	-0.335451817985108	-0.835550421675292	0.40340786995124	0.694355047334052	0.494991255690952	TRUE
Jam2	23	29	-0.334419039070559	-0.335451817985108	-0.835550421675292	0.40340786995124	0.694355047334052	0.494991255690952	TRUE
Proca1	8	5	0.678071905112638	0.677039126198089	0.834525061932602	0.403985170733704	0.694661989154961	0.49502746150374	TRUE
Appbp2os	8	5	0.678071905112638	0.677039126198089	0.834525061932602	0.403985170733704	0.694661989154961	0.49502746150374	TRUE
Habp2	8	5	0.678071905112638	0.677039126198089	0.834525061932602	0.403985170733704	0.694661989154961	0.49502746150374	TRUE
C130050O18Rik	8	5	0.678071905112638	0.677039126198089	0.834525061932602	0.403985170733704	0.694661989154961	0.49502746150374	TRUE
4930509E16Rik	8	5	0.678071905112638	0.677039126198089	0.834525061932602	0.403985170733704	0.694661989154961	0.49502746150374	TRUE
Col6a6	8	5	0.678071905112638	0.677039126198089	0.834525061932602	0.403985170733704	0.694661989154961	0.49502746150374	TRUE
Zfp558	29	23	0.334419039070559	0.33338626015601	0.830405486925904	0.406309564403931	0.69629502000275	0.495425733929068	TRUE
Npy2r	16	21	-0.392317422778761	-0.393350201693309	-0.82542018187856	0.409133080880191	0.698812346239139	0.495425733929068	TRUE
Gm5532	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Pcp4l1	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Tmprss9	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Caps2	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Grip1	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Wif1	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Bcl6b	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Hist1h4h	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Kcnrg	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Snord83b	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Pcdhga5	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Fam111a	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Crb2	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Cybrd1	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
6820408C15Rik	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Kcnb1	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Trpc3	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Hist2h4	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Snord55	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Gm13051	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Tmem240	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Tmem40	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Ninj2	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Cdc42ep5	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Nhs	2	4	-1	-1.00103277891455	-0.825147020478085	0.409288127363798	0.697879094877016	0.495425733929068	TRUE
Dner	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Diras1	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Nrp	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Hist1h2an	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Dnase1l3	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Thrb	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Hsf2bp	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
4933433H22Rik	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Pcdhgb4	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Slc22a8	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Col17a1	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Hoxd3	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
4930443O20Rik	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Siglec1	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Fam221b	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Actr3b	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Mapk10	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
A930041C12Rik	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Crybb3	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Hnf1a	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
5730422E09Rik	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
2310001H17Rik	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Ceacam19	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Fgf21	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Far1os	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
